country,company,industry,hq,east_africa_presence,expansion_signal,signal_year,investment_as_disclosed,investment_est_usd_million,facility_type,investment_score,recency_score,facility_type_score,infrastructure_synergy_score,opportunity_score,opportunity_tier,source_title,source_url,source_date
Burundi,SOSUMO (Société Sucrière du Moso),Manufacturing,"Bujumbura, Burundi (state-owned)","SOSUMO operates Burundi's only sugar factory and sugarcane plantations in the Moso region, supplying the domestic sugar market.","Burundi's Council of Ministers reviewed and endorsed progress on SOSUMO's rehabilitation, modernization and extension project (roadmap approved June 9, 2021), aimed at expanding milling capacity contingent on securing sugarcane supply.",2021,"105,993,995,058 BIF (~US$53M at 2021 rates)",53.0,Manufacturing Plant,32,14,20,5,71,High,"The SOSUMO rehabilitation, modernization and extension project is reaching a satisfactory stage",https://english.abpinfo.bi/2021/06/12/the-sosumo-rehabilitation-modernization-and-extension-project-is-reaching-a-satisfactory-stage/,2021-06-12
Comoros,Axian Telecom (Yas Comoros / Telecom Comores SA),Technology,"Antananarivo, Madagascar","Axian Telecom, via its Comoros subsidiary Telecom Comores SA (branded Yas Comoros), is the country's second mobile network operator, providing mobile, fixed broadband and mobile-money services across the archipelago.","IFC approved (Dec 17, 2024) and signed (May 30, 2025) a senior secured loan of up to €25M (~US$27M) to Telecom Comores SA to fund capital expenditure and a 2024-2026 mobile network expansion program, including 5G and fibre-to-the-home/office rollout, disbursed October 10, 2025.",2024,Up to €25 million (~US$27 million),27.0,Regional HQ / Network Infrastructure,32,25,12,10,79,High,49849 - Axian Comoros II & Tanzania,https://disclosures.ifc.org/project-detail/ESRS/49849/axian-comoros-ii-tanzania,2025-10-10
DRC Congo,Africa Global Logistics (MSC Group),Logistics,"Geneva, Switzerland","Following MSC's acquisition of Bolloré Africa Logistics, Africa Global Logistics operates freight-forwarding, dry-port and transport logistics infrastructure in DRC.","MSC completed its $6.1 billion acquisition of Bolloré Africa Logistics, covering its DRC logistics operations, on 21 December 2022.",2022,"US$6.1 billion (pan-African acquisition, not DRC-specific)",6100.0,Distribution Center,40,20,14,10,84,High,MSC Completes Acquisition of Bolloré Africa Logistics,https://maritime-executive.com/article/msc-completes-acquisition-of-bollore-africa-logistics,2022-12-21
Djibouti,Saudi Ajyal Petroleum and Energy Company,Manufacturing,Saudi Arabia,"Saudi Ajyal is developing a large-scale oil refinery in the Djibouti Damerjog International Park (DDIP), positioned to serve regional Horn of Africa fuel demand.","Cornerstone for a 300,000 barrels-per-day refinery on 300 hectares in DDIP was laid in June 2024, expected to create roughly 10,000 direct jobs.",2024,$12.7 billion,12700.0,Manufacturing Plant,40,25,20,10,95,High,Saudi Arabia expands footprint in Djibouti with major investment projects,https://capitalethiopia.com/2024/07/01/saudi-arabia-expands-footprint-in-djibouti-with-major-investment-projects/,2024-07-01
Djibouti,PAIX Data Centres,Technology,Netherlands,PAIX is entering Djibouti to build a cloud- and carrier-neutral data centre leveraging Djibouti's position as a landing point for roughly ten undersea cables.,"PAIX signed a joint-venture/MOU with the Djibouti Sovereign Wealth Fund (announced May 16, 2024) to build a ~50,000 sq ft, up to 5MW data centre, with the first phase expected to open in 2026.",2024,$50 million,50.0,Data Centre,32,25,20,10,87,High,PAIX to Construct Carrier-neutral Data Center in Djibouti,https://www.submarinenetworks.com/en/stations/africa/djibouti/paix-to-construct-carrier-neutral-data-center-in-djibouti,2024-05-16
Djibouti,China Merchants Port Holdings Company Limited,Logistics,"Hong Kong / Shenzhen, China",China Merchants holds a 23.5% stake in the Port of Djibouti and is a key investor/co-developer in the Djibouti International Free Trade Zone (DIFTZ).,"China Merchants signed a deal on January 8, 2021 to fund a $3 billion expansion of Djibouti City port and DIFTZ, building on an initial $513 million phase that began October 8, 2020.",2021,$3 billion (expansion agreement); $513 million (initial phase),3000.0,Distribution Center,40,14,14,10,78,High,China Merchants signs deal for $3bn expansion of Djibouti City port,https://www.globalconstructionreview.com/china-merchants-signs-deal-3bn-expansion-djibouti/,2021-01-08
Eritrea,Sichuan Road and Bridge Group,Construction,"Chengdu, Sichuan, China",Sichuan Road and Bridge Group acquired Australian miner Danakali's 50% stake in the Colluli potash project in Eritrea.,"Sichuan Road and Bridge Group completed its purchase of Danakali's 50% Colluli potash project stake, with a first $105 million instalment paid by 31 March 2023.",2023,US$105 million (first instalment) plus a further US$16 million tranche,105.0,Construction Project,40,25,16,5,86,High,Danakali sells stake in flagship Colluli potash project in Eritrea,https://www.mining.com/danakali-sells-stake-in-flagship-colluli-potash-project-in-eritrea/,2023-03-31
Ethiopia,Roha Group (Roha Medical Campus),Pharma,United States,"Building Ethiopia's first JCI-accredited, 350-bed multispecialty hospital in Addis Ababa, positioned as the anchor of a planned African medical-tourism hub.","Received first $42M equity tranche (of a $130M Phase 1) to fund construction of Roha Medical Campus hospital near Bole International Airport; announced February 22, 2024.",2024,$42 million (initial tranche; $130M Phase 1 total),42.0,Hospital/Pharma Plant,32,25,18,15,90,High,"Roha Medical Campus, a World-Class Hospital in Ethiopia, Gets $42 Million First Injection",https://www.businesswire.com/news/home/20240222253596/en/Roha-Medical-Campus-a-World-Class-Hospital-in-Ethiopia-Gets-$42-Million-First-Injection,
Ethiopia,Ethiopian Airlines Group,Logistics,"Addis Ababa, Ethiopia","Africa's largest airline/cargo group, operating from its Bole hub with a continent-wide freight network.","Opened a new $55M e-commerce/cargo sorting hub at Bole International Airport built to serve Alibaba and Shein, with 150,000-tonne annual capacity; inaugurated February 29, 2024.",2024,$55 million,55.0,Distribution Center,32,25,14,15,86,High,Ethiopian Airlines Opens $55 Million Cargo Center At Addis Ababa Airport,https://simpleflying.com/ethiopian-airlines-55-million-cargo-center-addis-ababa-airport/,
Ethiopia,Komari Beverage (Arada) — acquired by Heineken N.V.,Manufacturing,"Amhara Region, Ethiopia (parent: Heineken N.V., Amsterdam, Netherlands)","Heineken has operated breweries in Ethiopia since 2011 (Kilinto, Harar, Bedele) as part of a EUR310M+ cumulative investment, and diversified via acquisition into the local spirits/hard-seltzer category.",Acquired ownership of the Arada hard-seltzer brand from Ethiopian producer Komari Beverage (which built a $29M+ factory in Amhara region); deal concluded mid-October 2024.,2024,Not disclosed,,Manufacturing Plant,12,25,20,15,72,High,Heineken acquires Komari Beverage,https://capitalethiopia.com/2024/10/14/heineken-acquires-komari-beverage/,
Ethiopia,Raxio Group,Technology,"Kampala, Uganda","Pan-African data centre operator (Uganda, DRC, Mozambique, Cote d'Ivoire) that entered Ethiopia with its flagship East African facility.","Launched ET1, a Tier III, 3MW/800-rack data centre in Addis Ababa's Ethio ICT Park; opened November 2023.",2023,Not disclosed,,Data Centre,12,25,20,15,72,High,"Raxio launches data center in Addis Ababa, Ethiopia",https://www.datacenterdynamics.com/en/news/raxio-launches-data-center-in-addis-ababa-ethiopia/,
Ethiopia,China Civil Engineering Construction Corporation (CCECC),Construction,"Beijing, China","Longtime Ethiopian infrastructure contractor (Addis Ababa-Djibouti railway, Hawassa & Dire Dawa industrial parks, Modjo dry port expansion); now building a new special economic zone.","Broke ground on the Lume Free Trade Zone within the new Gada Special Economic Zone in Oromia (~65km SE of Addis Ababa), Ethiopia's second free trade zone; groundbreaking May 10, 2024.",2024,Not disclosed,,Construction Project,12,25,16,15,68,Medium,Ethiopia launches construction of Chinese-contracted economic zone,https://eng.yidaiyilu.gov.cn/p/0M376K98.html,
Kenya,Amsons Industries (K) Ltd (Amsons Group),Manufacturing,"Dar es Salaam, Tanzania","Amsons Group is a Tanzanian family-owned conglomerate active in cement, bulk petroleum, wheat milling and LPG across Tanzania, Burundi, DR Congo, Mozambique and Zambia, generating over $1 billion in annual turnover; its Kenyan subsidiary Amsons Industries (K) Ltd is moving to take control of Bamburi Cement, Kenya's largest cement producer.","Launched a mandatory buyout offer for all shares of Bamburi Cement Plc at KSh65/share (a 44% premium), a deal valued at roughly KSh 23.59 billion, to acquire Holcim's 58.6% stake and delist Bamburi from the Nairobi Securities Exchange; announced July 15, 2024.",2024,KSh 23.59 billion (~US$180 million),180.0,Manufacturing Plant,40,25,20,15,100,High,Inside Amsons Group's KShs 23.59bn Buyout Offer for Bamburi Cement,https://kenyanwallstreet.com/inside-amsons-group-kshs-23-59bn-buyout-offer-for-bamburi-cement/,
Kenya,Devki Group (Simba Cement),Manufacturing,"Nairobi, Kenya","Major Kenyan industrial conglomerate producing cement and steel, with operations spanning Kenya, Uganda, DRC, Rwanda and Zambia.","Launched the Cemtech Sebit Clinkerization Plant in West Pokot on April 8, 2024 - a 2-million-tonne-per-year clinker facility ending Kenya's reliance on imported clinker.",2024,$220 million (approx. Sh29 billion),220.0,Manufacturing Plant,40,25,20,15,100,High,Devki Opens Sh29bn Clinker Factory in West Pokot,https://www.constructionkenya.com/2941/pokot-cement-factory/,
Kenya,Microsoft (with G42),Technology,"Redmond, USA (partner G42 HQ'd in Abu Dhabi, UAE)","Establishing Kenya as its flagship East African digital hub, including a new Azure cloud region and an Innovation Lab in Nairobi.","Announced (with G42) a $1 billion comprehensive digital ecosystem initiative on May 22, 2024, including a geothermal-powered data centre in Olkaria and a new Azure East Africa Cloud Region.",2024,$1 billion,1000.0,Data Centre,40,25,20,15,100,High,Microsoft and G42 announce $1 billion comprehensive digital ecosystem initiative for Kenya,https://news.microsoft.com/source/2024/05/22/microsoft-and-g42-announce-1-billion-comprehensive-digital-ecosystem-initiative-for-kenya/,
Kenya,Huawei Technologies,Technology,"Shenzhen, China","Huawei has operated in Kenya for over two decades, partnering with the Kenyan government on national ICT infrastructure, most notably building the Konza Technopolis National Cloud Data Centre and Government Cloud alongside network infrastructure for local telecom operators.","Committed to build a National Cloud data centre, smart ICT/surveillance systems and a Government Cloud at Konza Technopolis, financed via Chinese concessional loans; Phase 1 (containerized National Data Centre) completed July 2020, valued at KSh 17.5 billion.",2020,KSh 17.5 billion (~US$173 million),173.0,Data Centre,40,8,20,15,83,High,Phase One National Data Center at Konza Completed,https://techweez.com/2020/07/20/phase-one-national-data-center-konza-completed/,
